Syc-Warp WCET Analysis Report
Warp Number: 32, block size: 256
Total Accesses: 786496
Syc warp Hits: 786144 (99.96%)
Syc warp Misses: 352 (0.04%)

 Address           tag              set              pos         idmemory  
 6442452480      6442452480       0                578         1         
 6442452608      6442452480       1                626         1         
 6442452736      6442452480       2                674         1         
 6442452864      6442452480       3                722         1         
 6442452992      6442452992       0                770         1         
 6442453120      6442452992       1                818         1         
 6442453248      6442452992       2                866         1         
 6442453376      6442452992       3                914         1         
 6442453504      6442453504       0                962         1         
 6442453632      6442453504       1                1010        1         
 6442453760      6442453504       2                1058        1         
 6442453888      6442453504       3                1106        1         
 6442454016      6442454016       0                1154        1         
 6442454144      6442454016       1                1202        1         
 6442454272      6442454016       2                1250        1         
 6442454400      6442454016       3                1298        1         
 6442454528      6442454528       0                1346        1         
 6442454656      6442454528       1                1394        1         
 6442454784      6442454528       2                1442        1         
 6442454912      6442454528       3                1490        1         
 6442455040      6442455040       0                1538        1         
 6442455168      6442455040       1                1586        1         
 6442455296      6442455040       2                1634        1         
 6442455424      6442455040       3                1682        1         
 6442455552      6442455552       0                1730        1         
 6442455680      6442455552       1                1778        1         
 6442455808      6442455552       2                1826        1         
 6442455936      6442455552       3                1874        1         
 6442456064      6442456064       0                1922        1         
 6442456192      6442456064       1                1970        1         
 6442456320      6442456064       2                2018        1         
 6442456448      6442456064       3                2066        1         
 6442456576      6442456576       0                2114        1         
 6442456704      6442456576       1                2162        1         
 6442456832      6442456576       2                2210        1         
 6442456960      6442456576       3                2258        1         
 6442457088      6442457088       0                2306        1         
 6442457216      6442457088       1                2354        1         
 6442457344      6442457088       2                2402        1         
 6442457472      6442457088       3                2450        1         
 6442457600      6442457600       0                2498        1         
 6442457728      6442457600       1                2546        1         
 6442457856      6442457600       2                2594        1         
 6442457984      6442457600       3                2642        1         
 6442458112      6442458112       0                2690        1         
 6442458240      6442458112       1                2738        1         
 6442458368      6442458112       2                2786        1         
 6442458496      6442458112       3                2834        1         
 6442458624      6442458624       0                2882        1         
 6442458752      6442458624       1                2930        1         
 6442458880      6442458624       2                2978        1         
 6442459008      6442458624       3                3026        1         
 6442459136      6442459136       0                3074        1         
 6442459264      6442459136       1                3122        1         
 6442459392      6442459136       2                3170        1         
 6442459520      6442459136       3                3218        1         
 6442459648      6442459648       0                3266        1         
 6442459776      6442459648       1                3314        1         
 6442459904      6442459648       2                3362        1         
 6442460032      6442459648       3                3410        1         
 6442460160      6442460160       0                3458        1         
 6442460288      6442460160       1                3506        1         
 6442460416      6442460160       2                3554        1         
 6442460544      6442460160       3                3602        1         
 6442460672      6442460672       0                3650        1         
 6442460800      6442460672       1                3698        1         
 6442460928      6442460672       2                3746        1         
 6442461056      6442460672       3                3794        1         
 6442461184      6442461184       0                3842        1         
 6442461312      6442461184       1                3890        1         
 6442461440      6442461184       2                3938        1         
 6442461568      6442461184       3                3986        1         
 6442461696      6442461696       0                4034        1         
 6442461824      6442461696       1                4082        1         
 6442461952      6442461696       2                4130        1         
 6442462080      6442461696       3                4178        1         
 6442462208      6442462208       0                4226        1         
 6442462336      6442462208       1                4274        1         
 6442462464      6442462208       2                4322        1         
 6442462592      6442462208       3                4370        1         
 6442462720      6442462720       0                4418        1         
 6442462848      6442462720       1                4466        1         
 6442462976      6442462720       2                4514        1         
 6442463104      6442462720       3                4562        1         
 6442463232      6442463232       0                4610        1         
 6442463360      6442463232       1                4658        1         
 6442463488      6442463232       2                4706        1         
 6442463616      6442463232       3                4754        1         
 6442463744      6442463744       0                4802        1         
 6442463872      6442463744       1                4850        1         
 6442464000      6442463744       2                4898        1         
 6442464128      6442463744       3                4946        1         
 6442464256      6442464256       0                4994        1         
 6442464384      6442464256       1                5042        1         
 6442464512      6442464256       2                5090        1         
 6442464640      6442464256       3                5138        1         
 6442464768      6442464768       0                5186        1         
 6442464896      6442464768       1                5234        1         
 6442465024      6442464768       2                5282        1         
 6442465152      6442464768       3                5330        1         
 6442465280      6442465280       0                5378        1         
 6442465408      6442465280       1                5426        1         
 6442465536      6442465280       2                5474        1         
 6442465664      6442465280       3                5522        1         
 6442465792      6442465792       0                5570        1         
 6442465920      6442465792       1                5618        1         
 6442466048      6442465792       2                5666        1         
 6442466176      6442465792       3                5714        1         
 6442466304      6442466304       0                5762        1         
 6442466432      6442466304       1                5810        1         
 6442466560      6442466304       2                5858        1         
 6442466688      6442466304       3                5906        1         
 6442466816      6442466816       0                5954        1         
 6442466944      6442466816       1                6002        1         
 6442467072      6442466816       2                6050        1         
 6442467200      6442466816       3                6098        1         
 9663676416      9663676416       0                6145        0         
 9663676544      9663676416       1                6145        0         
 9663676672      9663676416       2                6145        0         
 9663676800      9663676416       3                6145        0         
 9663676928      9663676928       0                6145        0         
 9663677056      9663676928       1                6145        0         
 9663677184      9663676928       2                6145        0         
 9663677312      9663676928       3                6145        0         
 9663677440      9663677440       0                6145        0         
 9663677568      9663677440       1                6145        0         
 9663677696      9663677440       2                6145        0         
 9663677824      9663677440       3                6145        0         
 9663677952      9663677952       0                6145        0         
 9663678080      9663677952       1                6145        0         
 9663678208      9663677952       2                6145        0         
 9663678336      9663677952       3                6145        0         
 9663678464      9663678464       0                6145        0         
 9663678592      9663678464       1                6145        0         
 9663678720      9663678464       2                6145        0         
 9663678848      9663678464       3                6145        0         
 9663678976      9663678976       0                6145        0         
 9663679104      9663678976       1                6145        0         
 9663679232      9663678976       2                6145        0         
 9663679360      9663678976       3                6145        0         
 9663679488      9663679488       0                6145        0         
 9663679616      9663679488       1                6145        0         
 9663679744      9663679488       2                6145        0         
 9663679872      9663679488       3                6145        0         
 9663680000      9663680000       0                6145        0         
 9663680128      9663680000       1                6145        0         
 9663680256      9663680000       2                6145        0         
 9663680384      9663680000       3                6145        0         
 12884901888     12884901888      0                6145        1         
 12884902016     12884901888      1                6145        1         
 12884902144     12884901888      2                6145        1         
 12884902272     12884901888      3                6145        1         
 12884902400     12884902400      0                6145        1         
 12884902528     12884902400      1                6145        1         
 12884902656     12884902400      2                6145        1         
 12884902784     12884902400      3                6145        1         
 12884902912     12884902912      0                6145        1         
 12884903040     12884902912      1                6145        1         
 12884903168     12884902912      2                6145        1         
 12884903296     12884902912      3                6145        1         
 12884903424     12884903424      0                6145        1         
 12884903552     12884903424      1                6145        1         
 12884903680     12884903424      2                6145        1         
 12884903808     12884903424      3                6145        1         
 12884903936     12884903936      0                6145        1         
 12884904064     12884903936      1                6145        1         
 12884904192     12884903936      2                6145        1         
 12884904320     12884903936      3                6145        1         
 12884904448     12884904448      0                6145        1         
 12884904576     12884904448      1                6145        1         
 12884904704     12884904448      2                6145        1         
 12884904832     12884904448      3                6145        1         
 12884904960     12884904960      0                6145        1         
 12884905088     12884904960      1                6145        1         
 12884905216     12884904960      2                6145        1         
 12884905344     12884904960      3                6145        1         
 12884905472     12884905472      0                6145        1         
 12884905600     12884905472      1                6145        1         
 12884905728     12884905472      2                6145        1         
 12884905856     12884905472      3                6145        1         
