===Inst Warp Memory Access Analysis Report ===

GPU Configuration:
  Grid Dimensions: [4, 1, 1]
  Block Dimensions: [256, 1, 1]

Memory Accesses:
    Address          set         tag         warp_id    memory_type

    pos: 2          id: 0         
    3221225472       0           3221225472 0               LOAD      
    3221225728       2           3221225472 0               LOAD      
    3221225856       3           3221225472 0               LOAD      
    3221225600       1           3221225472 0               LOAD      
    3221225984       0           3221225984 0               LOAD      
    3221226112       1           3221225984 0               LOAD      
    3221226240       2           3221225984 0               LOAD      
    3221226624       1           3221226496 0               LOAD      
    3221226368       3           3221225984 0               LOAD      
    3221226496       0           3221226496 0               LOAD      
    3221226752       2           3221226496 0               LOAD      
    3221227008       0           3221227008 0               LOAD      
    3221227136       1           3221227008 0               LOAD      
    3221226880       3           3221226496 0               LOAD      
    3221227264       2           3221227008 0               LOAD      
    3221227392       3           3221227008 0               LOAD      
    3221227520       0           3221227520 0               LOAD      
    3221227904       3           3221227520 0               LOAD      
    3221227648       1           3221227520 0               LOAD      
    3221227776       2           3221227520 0               LOAD      
    3221228032       0           3221228032 0               LOAD      
    3221228288       2           3221228032 0               LOAD      
    3221228416       3           3221228032 0               LOAD      
    3221228160       1           3221228032 0               LOAD      
    3221228544       0           3221228544 0               LOAD      
    3221228672       1           3221228544 0               LOAD      
    3221228800       2           3221228544 0               LOAD      
    3221229184       1           3221229056 0               LOAD      
    3221228928       3           3221228544 0               LOAD      
    3221229056       0           3221229056 0               LOAD      
    3221229312       2           3221229056 0               LOAD      
    3221229568       0           3221229568 0               LOAD      
    3221229824       2           3221229568 0               LOAD      
    3221229440       3           3221229056 0               LOAD      
    3221229696       1           3221229568 0               LOAD      
    3221229952       3           3221229568 0               LOAD      
    3221230080       0           3221230080 0               LOAD      
    3221230336       2           3221230080 0               LOAD      
    3221230208       1           3221230080 0               LOAD      
    3221230464       3           3221230080 0               LOAD      
    3221230592       0           3221230592 1               LOAD      
    3221230848       2           3221230592 1               LOAD      
    3221231104       0           3221231104 1               LOAD      
    3221230720       1           3221230592 1               LOAD      
    3221230976       3           3221230592 1               LOAD      
    3221231232       1           3221231104 1               LOAD      
    3221231360       2           3221231104 1               LOAD      
    3221231616       0           3221231616 1               LOAD      
    3221231488       3           3221231104 1               LOAD      
    3221231744       1           3221231616 1               LOAD      
    3221231872       2           3221231616 1               LOAD      
    3221232128       0           3221232128 1               LOAD      
    3221232384       2           3221232128 1               LOAD      
    3221232000       3           3221231616 1               LOAD      
    3221232256       1           3221232128 1               LOAD      
    3221232512       3           3221232128 1               LOAD      
    3221232640       0           3221232640 1               LOAD      
    3221232896       2           3221232640 1               LOAD      
    3221232768       1           3221232640 1               LOAD      
    3221233024       3           3221232640 1               LOAD      
    3221233152       0           3221233152 1               LOAD      
    3221233408       2           3221233152 1               LOAD      
    3221233280       1           3221233152 1               LOAD      
    3221233536       3           3221233152 1               LOAD      
    3221233664       0           3221233664 1               LOAD      
    3221233792       1           3221233664 1               LOAD      
    3221233920       2           3221233664 1               LOAD      
    3221234304       1           3221234176 1               LOAD      
    3221234048       3           3221233664 1               LOAD      
    3221234176       0           3221234176 1               LOAD      
    3221234432       2           3221234176 1               LOAD      
    3221234688       0           3221234688 1               LOAD      
    3221234816       1           3221234688 1               LOAD      
    3221234560       3           3221234176 1               LOAD      
    3221234944       2           3221234688 1               LOAD      
    3221235072       3           3221234688 1               LOAD      
    3221235200       0           3221235200 1               LOAD      
    3221235584       3           3221235200 1               LOAD      
    3221235328       1           3221235200 1               LOAD      
    3221235456       2           3221235200 1               LOAD      
    3221235712       0           3221235712 2               LOAD      
    3221235968       2           3221235712 2               LOAD      
    3221236096       3           3221235712 2               LOAD      
    3221235840       1           3221235712 2               LOAD      
    3221236224       0           3221236224 2               LOAD      
    3221236352       1           3221236224 2               LOAD      
    3221236480       2           3221236224 2               LOAD      
    3221236864       1           3221236736 2               LOAD      
    3221236608       3           3221236224 2               LOAD      
    3221236736       0           3221236736 2               LOAD      
    3221236992       2           3221236736 2               LOAD      
    3221237248       0           3221237248 2               LOAD      
    3221237376       1           3221237248 2               LOAD      
    3221237120       3           3221236736 2               LOAD      
    3221237504       2           3221237248 2               LOAD      
    3221237632       3           3221237248 2               LOAD      
    3221237760       0           3221237760 2               LOAD      
    3221238016       2           3221237760 2               LOAD      
    3221237888       1           3221237760 2               LOAD      
    3221238144       3           3221237760 2               LOAD      
    3221238272       0           3221238272 2               LOAD      
    3221238528       2           3221238272 2               LOAD      
    3221238784       0           3221238784 2               LOAD      
    3221238400       1           3221238272 2               LOAD      
    3221238656       3           3221238272 2               LOAD      
    3221238912       1           3221238784 2               LOAD      
    3221239040       2           3221238784 2               LOAD      
    3221239296       0           3221239296 2               LOAD      
    3221239168       3           3221238784 2               LOAD      
    3221239424       1           3221239296 2               LOAD      
    3221239552       2           3221239296 2               LOAD      
    3221239808       0           3221239808 2               LOAD      
    3221240064       2           3221239808 2               LOAD      
    3221239680       3           3221239296 2               LOAD      
    3221239936       1           3221239808 2               LOAD      
    3221240192       3           3221239808 2               LOAD      
    3221240320       0           3221240320 2               LOAD      
    3221240576       2           3221240320 2               LOAD      
    3221240448       1           3221240320 2               LOAD      
    3221240704       3           3221240320 2               LOAD      
    3221240832       0           3221240832 3               LOAD      
    3221241088       2           3221240832 3               LOAD      
    3221241344       0           3221241344 3               LOAD      
    3221240960       1           3221240832 3               LOAD      
    3221241216       3           3221240832 3               LOAD      
    3221241472       1           3221241344 3               LOAD      
    3221241600       2           3221241344 3               LOAD      
    3221241984       1           3221241856 3               LOAD      
    3221241728       3           3221241344 3               LOAD      
    3221241856       0           3221241856 3               LOAD      
    3221242112       2           3221241856 3               LOAD      
    3221242368       0           3221242368 3               LOAD      
    3221242496       1           3221242368 3               LOAD      
    3221242240       3           3221241856 3               LOAD      
    3221242624       2           3221242368 3               LOAD      
    3221242752       3           3221242368 3               LOAD      
    3221242880       0           3221242880 3               LOAD      
    3221243264       3           3221242880 3               LOAD      
    3221243008       1           3221242880 3               LOAD      
    3221243136       2           3221242880 3               LOAD      
    3221243392       0           3221243392 3               LOAD      
    3221243648       2           3221243392 3               LOAD      
    3221243776       3           3221243392 3               LOAD      
    3221243520       1           3221243392 3               LOAD      
    3221243904       0           3221243904 3               LOAD      
    3221244032       1           3221243904 3               LOAD      
    3221244160       2           3221243904 3               LOAD      
    3221244544       1           3221244416 3               LOAD      
    3221244288       3           3221243904 3               LOAD      
    3221244416       0           3221244416 3               LOAD      
    3221244672       2           3221244416 3               LOAD      
    3221244928       0           3221244928 3               LOAD      
    3221245056       1           3221244928 3               LOAD      
    3221244800       3           3221244416 3               LOAD      
    3221245184       2           3221244928 3               LOAD      
    3221245312       3           3221244928 3               LOAD      
    3221245440       0           3221245440 3               LOAD      
    3221245824       3           3221245440 3               LOAD      
    3221245568       1           3221245440 3               LOAD      
    3221245696       2           3221245440 3               LOAD      

………………………………   

pos: 6142       id: 0         
    3221225472       0           3221225472 0               LOAD      
    3221225728       2           3221225472 0               LOAD      
    3221225856       3           3221225472 0               LOAD      
    3221225600       1           3221225472 0               LOAD      
    3221225984       0           3221225984 0               LOAD      
    3221226112       1           3221225984 0               LOAD      
    3221226240       2           3221225984 0               LOAD      
    3221226624       1           3221226496 0               LOAD      
    3221226368       3           3221225984 0               LOAD      
    3221226496       0           3221226496 0               LOAD      
    3221226752       2           3221226496 0               LOAD      
    3221227008       0           3221227008 0               LOAD      
    3221227136       1           3221227008 0               LOAD      
    3221226880       3           3221226496 0               LOAD      
    3221227264       2           3221227008 0               LOAD      
    3221227392       3           3221227008 0               LOAD      
    3221227520       0           3221227520 0               LOAD      
    3221227904       3           3221227520 0               LOAD      
    3221227648       1           3221227520 0               LOAD      
    3221227776       2           3221227520 0               LOAD      
    3221228032       0           3221228032 0               LOAD      
    3221228288       2           3221228032 0               LOAD      
    3221228416       3           3221228032 0               LOAD      
    3221228160       1           3221228032 0               LOAD      
    3221228544       0           3221228544 0               LOAD      
    3221228672       1           3221228544 0               LOAD      
    3221228800       2           3221228544 0               LOAD      
    3221229184       1           3221229056 0               LOAD      
    3221228928       3           3221228544 0               LOAD      
    3221229056       0           3221229056 0               LOAD      
    3221229312       2           3221229056 0               LOAD      
    3221229568       0           3221229568 0               LOAD      
    3221229824       2           3221229568 0               LOAD      
    3221229440       3           3221229056 0               LOAD      
    3221229696       1           3221229568 0               LOAD      
